CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
PR-503,720,565,565,1,241,424,55,73,215,505,0,241,168,168,1,0,0,16,71,170,0,424,424,342,342,1,57,144,280,0,55,55,55,55,1,55,0,237,237,237,237,1.0,110,44,126,111,0
RI-500,1162,1057,976,0.923,689,456,17,218,561,601,0,689,615,571,0.928,127,23,116,280,409,0,456,456,425,388,0.913,102,281,175,.,17,17,17,17,1,17,0,1919,1919,1915,1320,0.689,310,308,852,1067,0
SC-500,354,328,267,0.814,171,183,0,27,71,283,0,171,145,128,0.883,0,3,12,38,133,0,183,183,183,139,0.76,15,33,150,0,0,0,0,0,0,0,0,274,274,274,68,0.248,43,9,23,251,0
SC-501,2802,2531,1293,0.511,933,1857,12,193,1638,1164,0,933,715,531,0.743,213,237,31,331,602,0,1857,1857,1804,750,0.416,162,1307,550,.,12,12,12,12,1,12,0,189,189,189,150,0.794,98,9,18,171,0
SC-502,1068,941,853,0.906,449,619,0,139,393,675,0,449,322,276,0.857,235,41,53,161,288,0,619,619,619,577,0.932,86,232,387,.,0,0,0,0,0,0,0,742,742,641,641,1.0,57,116,369,373,0
SC-503,601,511,477,0.933,293,308,0,85,300,301,0,293,215,215,1,0,37,39,121,172,0,308,308,296,262,0.885,46,179,129,.,0,0,0,0,0,0,0,422,422,422,419,0.993,63,77,237,185,0
SD-500,1444,1032,433,0.42,890,554,0,240,693,653,98,890,478,204,0.427,0,85,179,506,346,38,554,554,554,229,0.413,61,187,307,60,0,0,0,0,0,0,0,614,614,614,434,0.707,139,71,247,367,0
TN-500,277,235,235,1,157,120,0,52,150,127,0,157,147,147,1,160,0,14,48,109,0,120,120,88,88,1,38,102,18,0,0,0,0,0,0,0,0,421,421,402,337,0.838,64,72,207,214,0
TN-501,1874,1777,1297,0.73,425,1449,0,220,739,1127,8,425,398,360,0.905,0,100,37,137,280,8,1449,1449,1379,937,0.679,183,602,847,.,0,0,0,0,0,0,0,840,840,840,411,0.489,557,88,322,518,0
TN-502,893,866,661,0.763,400,493,0,114,195,698,0,400,385,380,0.987,0,122,32,66,334,0,493,493,481,281,0.584,82,129,364,.,0,0,0,0,0,0,0,791,791,687,479,0.697,292,189,390,401,0
TN-503,343,267,186,0.697,172,171,0,24,79,264,0,172,110,86,0.782,0,21,17,49,123,0,171,171,157,100,0.637,7,30,141,.,0,0,0,0,0,0,0,170,170,170,124,0.729,28,21,74,96,0
TN-504,1577,1461,469,0.321,685,876,16,117,310,1243,24,685,618,31,0.05,196,0,43,139,532,14,876,876,827,422,0.51,74,171,695,10,16,16,16,16,1,16,0,1248,1248,1248,848,0.679,135,302,679,569,0
TN-506,265,206,90,0.437,193,72,0,37,130,127,8,193,140,34,0.243,0,3,26,93,92,8,72,72,66,56,0.848,11,37,35,0,0,0,0,0,0,0,0,107,107,107,107,1.0,88,46,91,16,0
TN-507,285,227,72,0.317,176,101,8,49,179,106,0,176,133,21,0.158,0,1,34,124,52,0,101,101,86,43,0.5,15,55,46,.,8,8,8,8,1,8,0,214,214,214,209,0.977,36,21,53,161,0
TN-509,467,363,230,0.634,353,114,0,48,172,295,0,353,249,116,0.466,0,0,38,136,217,0,114,114,114,114,1,10,36,78,.,0,0,0,0,0,0,0,327,327,291,171,0.588,256,27,75,252,0
TN-510,156,109,75,0.688,116,40,0,22,81,75,0,116,76,60,0.789,0,14,18,65,51,0,40,40,33,15,0.455,4,16,24,0,0,0,0,0,0,0,0,135,135,131,88,0.672,21,25,68,67,0
TN-512,355,222,172,0.775,210,145,0,74,208,147,0,210,96,76,0.792,0,58,45,133,77,0,145,145,126,96,0.762,29,75,70,0,0,0,0,0,0,0,0,35,35,35,0,0.0,0,18,35,0,0
TX-500,2272,1935,1722,0.89,1434,794,44,425,1184,1088,0,1434,1161,1099,0.947,7,12,264,618,816,0,794,794,730,579,0.793,161,566,228,.,44,44,44,44,1,44,0,1651,1651,1651,457,0.277,151,973,1223,428,0
TX-501,942,877,284,0.324,610,332,0,85,186,719,37,610,545,116,0.213,80,29,70,86,487,37,332,332,332,168,0.506,15,100,232,.,0,0,0,0,0,0,0,114,114,114,15,0.132,20,12,48,66,0
TX-503,1173,939,925,0.985,627,530,16,216,690,447,36,627,521,521,1,12,121,78,267,340,20,530,530,402,388,0.965,138,423,91,16,16,16,16,16,1,16,0,957,957,957,667,0.697,305,248,484,473,0
TX-504,111,111,110,0.991,57,54,0,15,63,47,1,57,57,56,0.982,0,0,9,33,23,1,54,54,54,54,1,6,30,24,0,0,0,0,0,0,0,0,53,53,53,53,1.0,17,6,18,35,0
TX-600,3689,3134,669,0.213,2115,1549,25,700,1508,2181,0,2115,1799,0,0,0,50,424,711,1404,0,1549,1549,1310,644,0.492,276,797,752,.,25,25,25,25,1,25,0,2020,2020,2020,990,0.49,975,282,649,1371,0
TX-601,2183,1820,1799,0.988,1264,898,21,355,1125,1058,0,1264,1090,1090,1,33,71,104,427,837,0,898,898,709,688,0.97,251,698,200,.,21,21,21,21,1,21,0,1521,1521,1521,1521,1.0,775,104,289,1232,0
TX-603,1302,1201,1027,0.855,752,530,20,143,570,726,6,752,666,599,0.899,0,51,48,234,512,6,530,530,515,408,0.792,95,336,194,0,20,20,20,20,1,20,0,80,80,80,80,1.0,47,5,16,64,0
TX-604,282,209,197,0.943,121,161,0,36,138,144,0,121,66,54,0.818,0,33,16,58,63,0,161,161,143,143,1,20,80,81,.,0,0,0,0,0,0,0,108,108,108,31,0.287,15,7,27,81,0
TX-607,4772,2866,1889,0.659,3720,1052,0,646,2497,2215,60,3720,2146,1298,0.605,20,268,447,1802,1887,31,1052,1052,720,591,0.821,199,695,328,29,0,0,0,0,0,0,0,537,537,537,179,0.333,287,50,180,357,0
TX-611,649,625,614,0.982,580,69,0,72,261,388,0,580,556,545,0.98,0,210,54,199,381,0,69,69,69,69,1,18,62,7,0,0,0,0,0,0,0,0,190,190,190,97,0.511,51,39,73,117,0
TX-624,294,226,226,1,294,0,0,18,152,142,0,294,226,226,1,0,0,18,152,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1.0,1,3,3,4,0
TX-700,4318,3470,2751,0.793,1191,3102,25,486,1910,2408,0,1191,1035,1029,0.994,0,82,123,499,692,0,3102,3102,2410,1697,0.704,363,1411,1691,0,25,25,25,25,1,25,0,3066,3066,2853,1777,0.623,291,520,1324,1742,0
TX-701,280,235,215,0.915,207,73,0,42,95,185,0,207,162,148,0.914,0,9,27,65,142,0,73,73,73,67,0.918,15,30,43,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
TX-703,613,470,119,0.253,228,385,0,58,221,355,37,228,175,72,0.411,0,33,22,70,142,16,385,385,295,47,0.159,36,151,213,21,0,0,0,0,0,0,0,51,51,51,25,0.49,0,7,9,42,0
UT-500,1953,1639,1484,0.905,966,938,49,247,816,1111,26,966,789,688,0.872,399,45,89,297,645,24,938,938,801,747,0.933,158,519,417,2,49,49,49,49,1,49,0,1301,1301,1301,1236,0.95,523,160,532,769,0
UT-503,948,588,431,0.733,449,499,0,174,556,392,0,449,283,227,0.802,0,11,65,201,248,0,499,499,305,204,0.669,109,355,144,0,0,0,0,0,0,0,0,176,176,176,102,0.58,72,2,7,169,0
UT-504,119,60,38,0.633,71,48,0,19,65,45,9,71,40,18,0.45,0,0,9,33,29,9,48,48,20,20,1,10,32,16,.,0,0,0,0,0,0,0,281,281,259,197,0.761,167,14,46,235,0
VA-500,906,842,682,0.81,334,562,10,78,283,623,0,334,282,276,0.979,40,71,31,124,210,0,562,562,550,396,0.72,47,159,403,.,10,10,10,10,1,10,0,685,685,685,257,0.375,122,100,299,386,0
VA-501,542,430,253,0.588,340,202,0,73,290,252,0,340,280,127,0.454,120,62,38,162,178,0,202,202,150,126,0.84,35,128,74,0,0,0,0,0,0,0,0,356,356,356,281,0.789,177,28,116,235,5
VA-502,738,662,166,0.251,642,96,0,49,217,521,0,642,566,70,0.124,0,5,32,170,472,0,96,96,96,96,1,17,47,49,0,0,0,0,0,0,0,0,121,121,121,54,0.446,18,15,34,87,0
VA-503,396,266,213,0.801,125,271,0,69,278,118,0,125,62,61,0.984,64,0,16,74,51,0,271,271,204,152,0.745,53,204,67,.,0,0,0,0,0,0,0,303,303,303,303,1.0,64,20,52,251,0
VA-504,167,129,57,0.442,97,70,0,104,151,12,4,97,67,0,0,65,5,88,88,5,4,70,70,62,57,0.919,16,63,7,.,0,0,0,0,0,0,0,39,39,39,39,1.0,28,1,2,37,0
VA-505,554,426,216,0.507,291,241,22,72,249,305,0,291,226,83,0.367,215,65,40,120,171,0,241,241,178,111,0.624,32,129,112,.,22,22,22,22,1,22,0,466,466,466,166,0.356,78,70,152,314,0
VA-507,126,84,84,1,72,54,0,27,103,23,0,72,30,30,1,80,0,17,62,10,0,54,54,54,54,1,10,41,13,0,0,0,0,0,0,0,0,132,132,132,132,1.0,44,8,16,116,0
VA-508,245,194,176,0.907,138,107,0,39,132,113,0,138,87,87,1,0,0,26,83,55,0,107,107,107,89,0.832,13,49,58,.,0,0,0,0,0,0,0,46,46,46,46,1.0,0,14,33,13,0
VA-509,68,68,68,1,46,22,0,14,14,54,0,46,46,46,1,0,10,14,14,32,0,22,22,22,22,1,.,.,22,.,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
VA-510,168,128,120,0.938,160,8,0,56,68,100,0,160,120,120,1,0,0,56,68,92,0,8,8,8,0,0,.,.,8,.,0,0,0,0,0,0,0,46,46,46,22,0.478,0,0,0,46,0
VA-513,247,143,34,0.238,189,58,0,30,92,155,0,189,110,22,0.2,0,29,15,45,144,0,58,58,33,12,0.364,15,47,11,.,0,0,0,0,0,0,0,42,42,42,4,0.095,4,10,28,14,0
VA-514,155,132,124,0.939,111,44,0,32,94,61,0,111,88,80,0.909,37,13,15,50,61,0,44,44,44,44,1,17,44,0,0,0,0,0,0,0,0,0,82,82,60,60,1.0,43,7,20,62,0
VA-517,99,99,59,0.596,87,12,0,3,31,68,0,87,87,47,0.54,0,4,3,31,56,0,12,12,12,12,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
VA-518,149,133,133,1,146,3,0,22,91,58,0,146,130,130,1,40,0,21,88,58,0,3,3,3,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
VA-521,771,538,459,0.853,378,393,0,152,587,184,0,378,181,129,0.713,24,2,59,231,147,0,393,393,357,330,0.924,93,356,37,.,0,0,0,0,0,0,0,17,17,17,12,0.706,12,1,5,12,0
VA-600,271,271,260,0.959,126,141,4,66,211,60,0,126,126,115,0.913,73,15,26,82,44,0,141,141,141,141,1,40,129,12,.,4,4,4,4,1,4,0,113,113,113,113,1.0,56,14,36,77,0
VA-601,1156,985,890,0.904,396,752,8,265,858,297,1,396,324,324,1,204,109,79,239,157,0,752,752,653,558,0.855,186,619,132,1,8,8,8,8,1,8,0,394,394,394,366,0.929,139,30,106,288,0
VA-602,149,137,137,1,77,72,0,41,124,25,0,77,65,65,1,16,2,26,61,16,0,72,72,72,72,1,15,63,9,.,0,0,0,0,0,0,0,2,2,2,2,1.0,1,0,0,2,0
VA-603,308,291,268,0.921,161,135,12,48,148,160,0,161,144,144,1,67,0,20,71,90,0,135,135,135,112,0.83,28,77,58,0,12,12,12,12,1,12,0,33,33,33,33,1.0,0,3,8,25,0
VA-604,299,299,295,0.987,106,193,0,80,274,25,0,106,106,102,0.962,47,0,22,81,25,0,193,193,193,193,1,58,193,0,0,0,0,0,0,0,0,0,25,25,25,25,1.0,25,1,3,22,0
VI-500,158,114,114,1,99,59,0,34,61,97,0,99,75,75,1,0,0,14,41,58,0,59,59,39,39,1,20,20,39,0,0,0,0,0,0,0,0,63,63,63,63,1.0,14,9,34,29,0
VT-500,645,551,296,0.537,338,301,6,109,302,335,8,338,265,111,0.419,49,0,52,151,180,7,301,301,280,179,0.639,57,151,149,1,6,6,6,6,1,6,0,420,420,420,284,0.676,115,48,133,287,0
VT-501,336,228,161,0.706,228,108,0,77,197,139,0,228,179,132,0.737,4,0,50,136,92,0,108,108,49,29,0.592,27,61,47,.,0,0,0,0,0,0,0,95,95,95,82,0.863,39,2,6,89,0
WA-500,6737,6110,5070,0.83,2590,4102,45,1021,3775,2910,52,2590,2404,1990,0.828,326,184,195,760,1808,22,4102,4102,3661,3035,0.829,826,3015,1057,30,45,45,45,45,1,45,0,4225,4225,4225,3531,0.836,1601,257,815,3410,0
WA-501,4356,3700,3022,0.817,1857,2499,0,920,3035,1300,21,1857,1379,1030,0.747,306,151,332,1228,608,21,2499,2499,2321,1992,0.858,588,1807,692,.,0,0,0,0,0,0,0,1425,1425,1425,1244,0.873,363,155,367,1058,0
WA-502,1199,1104,680,0.616,633,566,0,193,661,517,21,633,593,313,0.528,0,0,59,269,343,21,566,566,511,367,0.718,134,392,174,0,0,0,0,0,0,0,0,530,530,530,285,0.538,136,57,133,397,0
WA-503,1776,1568,1284,0.819,488,1288,0,422,1290,486,0,488,410,384,0.937,110,37,74,226,262,0,1288,1288,1158,900,0.777,348,1064,224,.,0,0,0,0,0,0,0,524,524,524,334,0.637,258,28,93,431,0
WA-504,1541,1460,1421,0.973,400,1141,0,396,1192,319,30,400,381,367,0.963,0,20,44,139,247,14,1141,1141,1079,1054,0.977,352,1053,72,16,0,0,0,0,0,0,0,898,898,898,793,0.883,204,152,490,408,0
WA-507,593,485,224,0.462,335,258,0,139,413,180,0,335,298,101,0.339,45,14,54,174,161,0,258,258,187,123,0.658,85,239,19,.,0,0,0,0,0,0,0,214,214,214,133,0.621,20,26,68,146,0
WA-508,764,741,728,0.982,161,593,10,204,554,210,0,161,138,138,1,74,41,44,111,50,0,593,593,593,580,0.978,160,443,150,.,10,10,10,10,1,10,0,597,597,597,102,0.171,169,84,236,361,0
WI-500,3894,2753,2410,0.875,2060,1827,7,829,2525,1345,24,2060,1323,1104,0.834,175,346,372,1226,818,16,1827,1827,1423,1299,0.913,457,1299,520,8,7,7,7,7,1,7,0,421,421,421,266,0.632,32,31,91,330,0
WI-501,1571,1494,1355,0.907,745,783,43,231,738,797,36,745,678,615,0.907,31,0,81,265,452,28,783,783,773,697,0.902,150,473,302,8,43,43,43,43,1,43,0,1140,1140,1140,977,0.857,146,81,230,910,0
WI-502,305,250,232,0.928,199,106,0,49,130,175,0,199,168,150,0.893,0,0,29,85,114,0,106,106,82,82,1,20,45,61,.,0,0,0,0,0,0,0,95,95,86,49,0.57,31,2,6,89,0
WI-503,614,572,572,1,302,298,14,102,308,301,5,302,270,270,1,35,41,45,137,160,5,298,298,288,288,1,57,171,127,.,14,14,14,14,1,14,0,818,818,818,814,0.995,23,123,446,372,0
WV-500,120,84,84,1,68,52,0,22,61,59,0,68,58,58,1,16,18,5,15,53,0,52,52,26,26,1,17,46,6,.,0,0,0,0,0,0,0,16,16,16,16,1.0,11,0,0,16,0
WV-501,293,272,272,1,177,103,13,37,128,165,0,177,156,156,1,0,1,19,60,117,0,103,103,103,103,1,18,68,35,.,13,13,13,13,1,13,0,518,518,518,514,0.992,74,46,128,390,0
WV-503,440,423,252,0.596,305,135,0,49,153,271,16,305,288,140,0.486,0,5,34,109,196,0,135,135,135,112,0.83,15,44,75,16,0,0,0,0,0,0,0,113,113,113,105,0.929,71,4,8,105,0
WV-508,1021,794,475,0.598,639,382,0,121,353,668,0,639,503,326,0.648,16,30,54,157,482,0,382,382,291,149,0.512,67,196,186,.,0,0,0,0,0,0,0,355,355,355,153,0.431,173,45,132,223,0
WY-500,817,573,442,0.771,538,279,0,124,392,425,0,538,323,255,0.789,0,57,73,251,287,0,279,279,250,187,0.748,51,141,138,0,0,0,0,0,0,0,0,230,230,230,98,0.426,66,32,104,126,0
Total,428527,374842,299126,,229206,197192,2129,68983,221212,203973,3342,229206,194433,154678,,19708,28098,34031,111351,115643,2212,197192,197192,178322,142390,,34952,109861,86201,1130,2129,2129,2087,2058,,2129,0,274786,274786,272173,198516,,74693,38832,108416,166262,108
